date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:08:12	236433/236433	---M--	200	added ('OK')	image/png	etag:%22c178a59a77a9673e8b6fe5f755417038%22	https://cdn.prod.website-files.com/66982ae9fb16de9abb010249/66a3dbae0a6259b9cb05cb3f_matt-cannon-image-glamping-x-webflow-template.png	C:/My%20Web%20Sites/Zayior/cdn.prod.website-files.com/66982ae9fb16de9abb010249/66a3dbae0a6259b9cb05cb3f_matt-cannon-image-glamping-x-webflow-template.png	(from https://glampingtemplate.webflow.io/home-pages/home-v1)
16:08:12	71142/71142	---M--	200	added ('OK')	image/jpeg	etag:%221d097fe5fbf03d6f26337c31f22275ed%22	https://cdn.prod.website-files.com/66982ae9fb16de9abb01027e/66996e89724de66b7c64eed6_ultimate-guide-to-luxury-glamping-experience-small-image-glamping-x-webflow-template.jpg	C:/My%20Web%20Sites/Zayior/cdn.prod.website-files.com/66982ae9fb16de9abb01027e/66996e89724de66b7c64eed6_ultimate-guide-to-luxury-glamping-experience-small-image-glamping-x-webflow-template.jpg	(from https://glampingtemplate.webflow.io/home-pages/home-v1)
16:08:12	120175/120175	---M--	200	added ('OK')	image/jpeg	etag:%226ad081f2726bb1b4b67a99ac3c34987f%22	https://cdn.prod.website-files.com/66982ae9fb16de9abb01027e/66996e550fa718ab78e5e62f_top-10-glamping-destinations-you-must-visit-small-image-glamping-x-webflow-template.jpg	C:/My%20Web%20Sites/Zayior/cdn.prod.website-files.com/66982ae9fb16de9abb01027e/66996e550fa718ab78e5e62f_top-10-glamping-destinations-you-must-visit-small-image-glamping-x-webflow-template.jpg	(from https://glampingtemplate.webflow.io/home-pages/home-v1)
16:08:12	76179/76179	---M--	200	added ('OK')	image/jpeg	etag:%222cab23d473b7c7e7a6a8db942e904b1c%22	https://cdn.prod.website-files.com/66982ae9fb16de9abb01027e/66996e30d33beb1adf8fce89_why-glamping-is-the-new-trend-in-outdoor-travel-small-image-glamping-x-webflow-template.jpg	C:/My%20Web%20Sites/Zayior/cdn.prod.website-files.com/66982ae9fb16de9abb01027e/66996e30d33beb1adf8fce89_why-glamping-is-the-new-trend-in-outdoor-travel-small-image-glamping-x-webflow-template.jpg	(from https://glampingtemplate.webflow.io/home-pages/home-v1)
16:08:13	97124/97124	---M--	200	added ('OK')	image/jpeg	etag:%22676d360642547b6f898d2fd1f99d76d2%22	https://cdn.prod.website-files.com/66982ae9fb16de9abb010249/669ffead46d2d7e884fb23f9_social-media-gallery-one-default-image-glampling-x-webflow-template.jpg	C:/My%20Web%20Sites/Zayior/cdn.prod.website-files.com/66982ae9fb16de9abb010249/669ffead46d2d7e884fb23f9_social-media-gallery-one-default-image-glampling-x-webflow-template.jpg	(from https://glampingtemplate.webflow.io/home-pages/home-v1)
16:08:13	74820/74820	---M--	200	added ('OK')	image/jpeg	etag:%22c69d9c760d9c77adfc8da9302e0e1125%22	https://cdn.prod.website-files.com/66982ae9fb16de9abb010249/669ffeac19af17335e2648f8_social-media-gallery-two-default-image-glampling-x-webflow-template.jpg	C:/My%20Web%20Sites/Zayior/cdn.prod.website-files.com/66982ae9fb16de9abb010249/669ffeac19af17335e2648f8_social-media-gallery-two-default-image-glampling-x-webflow-template.jpg	(from https://glampingtemplate.webflow.io/home-pages/home-v1)
16:08:13	100168/100168	---M--	200	added ('OK')	image/jpeg	etag:%22b0726aec1e35a07cd83eb35b07325dd2%22	https://cdn.prod.website-files.com/66982ae9fb16de9abb010249/669ffeadac506ee8195e42b0_social-media-gallery-three-default-image-glampling-x-webflow-template.jpg	C:/My%20Web%20Sites/Zayior/cdn.prod.website-files.com/66982ae9fb16de9abb010249/669ffeadac506ee8195e42b0_social-media-gallery-three-default-image-glampling-x-webflow-template.jpg	(from https://glampingtemplate.webflow.io/home-pages/home-v1)
16:08:13	111098/111098	---M--	200	added ('OK')	image/jpeg	etag:%2299200ab7606065bd5fb36a55aeca3874%22	https://cdn.prod.website-files.com/66982ae9fb16de9abb010249/669ffead2abfff04cea0b419_social-media-gallery-four-default-image-glampling-x-webflow-template.jpg	C:/My%20Web%20Sites/Zayior/cdn.prod.website-files.com/66982ae9fb16de9abb010249/669ffead2abfff04cea0b419_social-media-gallery-four-default-image-glampling-x-webflow-template.jpg	(from https://glampingtemplate.webflow.io/home-pages/home-v1)
16:08:13	4419/4419	---M--	200	added ('OK')	image/png	etag:%221568fc9a5ccd5e0e5d3261b9493edc2c%22	https://cdn.prod.website-files.com/608e162a9175d0346094038b/67463b7d46e9fffa59a5ab2b_webflow-logo.png	C:/My%20Web%20Sites/Zayior/cdn.prod.website-files.com/608e162a9175d0346094038b/67463b7d46e9fffa59a5ab2b_webflow-logo.png	(from https://glampingtemplate.webflow.io/home-pages/home-v1)
16:08:14	4549/4549	---M--	200	added ('OK')	image/png	etag:%220bc7b4a13a120b870c45369dd88e5bd5%22	https://cdn.prod.website-files.com/66982ae9fb16de9abb010249/6750d9659961b3f002845f76_customize-your-webflow-template-brix-templates.png	C:/My%20Web%20Sites/Zayior/cdn.prod.website-files.com/66982ae9fb16de9abb010249/6750d9659961b3f002845f76_customize-your-webflow-template-brix-templates.png	(from https://glampingtemplate.webflow.io/home-pages/home-v1)
